preset	params	elo score (chat)	elo score (instruct)	elo score (all)	matches (chat)	matches (instruct)
random_preset_038	4	1221.9561648695544	1136.7361768411952	1179.3461708553748	31	29
random_preset_101	4	1197.77346543953	991.2749909901352	1094.5242282148324	30	20
random_preset_161	4	1168.2773906363657	1067.4737821188892	1117.8755863776273	30	16
random_preset_120	5	1152.4685900792283	1043.1514263185327	1097.8100081988805	28	25
Kobold-Godlike	4	1150.7211046347327	1079.7080680795264	1115.2145863571295	34	18
random_preset_121	6	1143.2879404395967	988.2381312471996	1065.763035843398	27	16
random_preset_128	5	1142.939843279618	1059.1331933305266	1101.0365183050721	30	14
random_preset_138	4	1139.1080523744656	1076.9462629799448	1108.0271576772052	27	21
random_preset_057	8	1137.685158928523	1054.7229136687147	1096.2040362986188	28	26
strong-tfs	3	1135.7012207069229	1073.7760862067285	1104.7386534568257	37	26
simple-1	4	1134.8380353195669	1152.2362947694091	1143.5371650444881	35	27
random_preset_175	4	1131.8661671903747	1030.4910540486737	1081.178610619524	30	20
random_preset_146	4	1130.7067374674134	1045.1864065153802	1087.946571991397	31	25
random_preset_160	4	1129.5304877660033	1104.0230876033343	1116.7767876846688	33	18
random_preset_077	5	1124.6918463005186	1023.7733364191985	1074.2325913598586	30	29
random_preset_194	6	1123.9916786929682	1049.2517956733845	1086.6217371831763	30	19
random_preset_076	4	1123.9892217496276	1006.5858896442785	1065.287555696953	30	18
random_preset_013	6	1123.1811428826193	1065.685624448698	1094.4333836656588	37	24
random_preset_108	4	1121.0382189192694	1015.7715909008591	1068.4049049100643	31	13
random_preset_020	4	1120.6164721893108	1008.6305978587127	1064.6235350240117	27	23
random_preset_150	4	1119.7159990148712	1062.4876445163043	1091.1018217655878	25	21
random_preset_113	5	1116.912824135456	1098.4799723624494	1107.6963982489528	30	16
starchat	3	1113.074590882335	1138.2610370833363	1125.6678139828357	28	23
random_preset_147	4	1112.4900267181777	998.9711587145026	1055.7305927163402	29	11
random_preset_188	5	1112.0721447057956	968.0531959005067	1040.0626703031512	34	9
random_preset_171	5	1112.0042129531396	1045.7983211795668	1078.9012670663533	42	12
random_preset_035	4	1111.8866748029714	1140.372397803351	1126.1295363031613	25	38
random_preset_104	5	1110.2560980066432	1033.9824808213475	1072.1192894139954	40	9
random_preset_082	5	1109.6968536197835	1054.6447692128181	1082.1708114163007	27	28
typical	4	1109.3160891821522	1035.458547757536	1072.387318469844	31	23
random_preset_075	5	1108.1982428446688	1066.5756246760766	1087.3869337603728	29	28
random_preset_189	6	1107.6524428040764	972.9972839860856	1040.324863395081	33	21
random_preset_046	5	1107.423175161612	1005.5253212553247	1056.4742482084685	39	22
random_preset_143	5	1106.5143916109562	1019.711462911549	1063.1129272612525	36	20
random_preset_114	4	1104.0681664904696	1044.1089486339185	1074.0885575621942	28	20
random_preset_063	6	1101.5658751708893	1011.2893808259872	1056.4276279984383	37	23
random_preset_172	5	1100.8965261045157	1045.6894864840212	1073.2930062942685	31	17
NovelAI-Storywriter	3	1098.6075117582934	1057.8220483866708	1078.214780072482	29	23
random_preset_179	5	1096.3224970871918	1040.7207217633163	1068.5216094252542	35	16
NovelAI-Pleasing Results	2	1096.2574505011726	1034.7665086535071	1065.5119795773398	27	26
random_preset_110	4	1095.7027787861123	1021.1727675910994	1058.437773188606	30	15
random_preset_178	6	1095.2389579958494	972.934178159473	1034.0865680776612	34	16
random_preset_182	4	1095.2373928812028	964.7246807355266	1029.9810368083647	26	17
random_preset_074	5	1094.827734281938	1056.7378098504503	1075.7827720661942	28	31
random_preset_139	5	1094.8021684865796	1060.2934147762926	1077.5477916314362	27	18
LLaMA-Precise	4	1093.8702343222421	1012.4712267219096	1053.170730522076	34	12
random_preset_066	7	1092.678589246576	1178.7471156449878	1135.712852445782	34	22
top-a	3	1091.2939673516119	1052.6614113913017	1071.9776893714568	29	27
random_preset_087	5	1091.2010239036272	1041.8207888864126	1066.51090639502	32	25
random_preset_186	5	1090.9808406351879	1022.4462290250159	1056.713534830102	34	20
random_preset_002	6	1087.2140177543697	1125.3115921728772	1106.2628049636235	40	30
random_preset_007	6	1087.0685824315524	1069.4920394489595	1078.280310940256	41	20
random_preset_116	4	1081.6043095194666	1016.9135275676277	1049.2589185435472	26	24
random_preset_001	7	1081.5462258593222	969.8906618199549	1025.7184438396384	34	29
random_preset_071	4	1081.1369104343105	1087.2372858326091	1084.1870981334598	30	29
random_preset_140	4	1080.3574550286662	1025.6744694979102	1053.0159622632882	27	15
random_preset_023	4	1079.9483314522474	1069.2214532490734	1074.5848923506605	31	35
NovelAI-Best Guess	4	1077.7990356698967	1075.6841532607423	1076.7415944653194	39	29
Special-Contrastive Search-3	3	1077.6702759297164	1115.8151721393688	1096.7427240345426	27	18
Special-Contrastive Search	3	1077.3415040295642	1095.4654729538931	1086.4034884917287	35	31
random_preset_148	4	1076.5473124512055	1017.022843969029	1046.7850782101173	33	17
random_preset_103	4	1075.7785449817209	1089.0207813538727	1082.399663167797	29	18
random_preset_065	5	1075.4577070034532	1077.4536728076228	1076.4556899055378	31	31
Simple-2	3	1074.4966737937234	1024.0847925568041	1049.2907331752638	33	25
NovelAI-Sphinx Moth	4	1073.7824329230993	990.0241753151831	1031.9033041191412	26	34
random_preset_141	4	1072.2541559847245	884.5050983864558	978.3796271855902	34	18
random_preset_133	5	1069.3548194831396	1077.2436844481404	1073.29925196564	35	14
random_preset_164	4	1069.0771300187967	1045.3344881141052	1057.205809066451	29	13
Mirostat-2	2	1067.8824770156248	1028.214156025321	1048.0483165204728	29	25
random_preset_019	7	1067.7419941508215	980.5618411855637	1024.1519176681927	23	26
random_preset_174	5	1065.866895674156	970.2899980730515	1018.0784468736038	22	19
random_preset_102	4	1065.7507783684198	1088.6568541002844	1077.203816234352	35	17
random_preset_056	5	1065.3843660688772	990.40810718801	1027.8962366284436	38	23
random_preset_181	4	1059.9589917437945	1070.9439486985177	1065.4514702211561	33	24
random_preset_112	5	1058.2968121169083	990.2279629003443	1024.2623875086263	29	19
random_preset_191	7	1057.9080057725564	1101.3682655994987	1079.6381356860275	31	17
random_preset_152	4	1057.28092959762	1053.9888274077205	1055.6348785026703	34	16
random_preset_000	6	1057.2259178241554	974.8613982954297	1016.0436580597925	29	26
random_preset_167	4	1056.9166157113732	1006.6275268147286	1031.772071263051	27	21
random_preset_012	6	1056.8596983615842	1037.004229481376	1046.93196392148	20	22
random_preset_192	4	1056.6113023801609	941.3277777488673	998.9695400645141	27	23
random_preset_187	6	1056.5782180096046	1036.3029374594728	1046.4405777345387	37	16
random_preset_169	4	1056.3789694106845	1003.5042990326107	1029.9416342216475	34	22
random_preset_183	7	1056.1100601810901	1128.6522752047233	1092.3811676929067	39	11
Kobold-Liminal Drift	3	1055.9865906521732	966.1459431186995	1011.0662668854363	39	29
random_preset_042	4	1055.4601236567478	1043.4532263196127	1049.45667498818	27	26
random_preset_027	7	1054.4461424327808	1110.8149767917753	1082.630559612278	33	31
random_preset_006	6	1054.1711868861341	1014.1125871536678	1034.1418870199009	34	21
random_preset_015	5	1053.5040638172209	1065.8347922442001	1059.6694280307106	22	33
random_preset_086	4	1053.0709011548747	1024.0020827155065	1038.5364919351905	34	25
random_preset_198	7	1052.5918545318098	1010.197290294588	1031.3945724131988	31	24
random_preset_197	5	1052.1223183876002	1052.8261818910814	1052.4742501393407	30	16
random_preset_022	6	1051.702221548577	1080.1519313243869	1065.927076436482	38	31
random_preset_184	4	1051.029564003397	1034.0153335566417	1042.5224487800192	37	16
random_preset_185	6	1050.1073228546709	1029.340104100753	1039.723713477712	35	20
random_preset_127	5	1048.5048142895719	1024.5240636650433	1036.5144389773077	35	18
random_preset_106	5	1048.090927123188	922.573586485262	985.332256804225	24	21
random_preset_084	5	1046.5069668611113	1033.883416313935	1040.1951915875231	26	21
random_preset_049	5	1046.259426723168	1032.8988839097474	1039.5791553164577	29	24
random_preset_125	5	1044.678398945103	1072.7155217185493	1058.6969603318262	33	15
random_preset_025	5	1044.5758451070585	1002.7165976149007	1023.6462213609796	29	17
random_preset_149	4	1041.0015888515475	1029.4847000456173	1035.2431444485824	33	18
random_preset_157	4	1038.7788198534638	1049.3580930536007	1044.0684564535322	25	27
random_preset_195	4	1037.2108494833078	1042.0427297181625	1039.6267896007353	24	21
tfs-simple	3	1036.9744909971619	1037.7457933198027	1037.3601421584822	32	20
random_preset_096	6	1036.9278691311195	1006.896026203582	1021.9119476673507	29	35
random_preset_115	5	1035.9457820995374	966.2932043832753	1001.1194932414064	37	15
random_preset_107	4	1032.7771943880791	1051.8953475130274	1042.3362709505532	29	18
random_preset_029	4	1031.925053725831	992.0272249509477	1011.9761393383894	30	30
Mirostat-4	2	1031.9219927236945	1020.1965461643792	1026.059269444037	37	35
random_preset_126	6	1031.3898557318792	1081.244445430917	1056.317150581398	32	19
Naive	3	1030.976461723494	1075.6086465041565	1053.2925541138252	32	29
random_preset_017	8	1030.3956325797208	1038.935082752725	1034.665357666223	30	15
random_preset_105	5	1030.1896880143984	1026.9211202152653	1028.5554041148318	23	12
random_preset_170	7	1029.2757466295595	1066.3211301001988	1047.798438364879	25	22
random_preset_163	4	1029.135553504035	1086.805242720743	1057.970398112389	33	16
random_preset_162	4	1026.270454909409	1030.8629482516012	1028.5667015805052	31	15
random_preset_199	5	1026.0289993247593	988.0833922882051	1007.0561958064823	28	27
random_preset_005	7	1025.7839248967846	1086.8325967384476	1056.308260817616	21	32
simple-6	3	1025.724468230305	1074.9398321826664	1050.3321502064857	36	20
random_preset_177	4	1024.864104387832	1032.2968528674367	1028.5804786276344	29	17
random_preset_190	6	1022.4878772138139	1034.1892673044342	1028.338572259124	27	14
simple-3	3	1022.307823653903	983.1287881948581	1002.7183059243805	21	24
random_preset_129	4	1020.7408015785513	1087.204174583934	1053.9724880812428	27	16
Special-Eta Sampling	3	1018.5269796896921	1016.4519009597249	1017.4894403247085	29	25
random_preset_118	6	1016.0366041733915	1063.6676433994053	1039.8521237863984	28	12
random_preset_166	4	1015.5185724726605	1056.5291234592412	1036.0238479659508	32	24
random_preset_072	6	1012.8792796602934	1096.3458342471758	1054.6125569537346	27	25
Mirostat-5	2	1012.723756636154	1100.0171006055577	1056.3704286208558	36	23
random_preset_176	4	1012.1740641073385	1051.8723413557898	1032.0232027315642	35	20
random_preset_041	4	1011.6608397598568	986.7502156128498	999.2055276863533	32	20
tfs-with-top-a	4	1009.2700102905926	1127.3726066370639	1068.3213084638282	31	22
random_preset_168	5	1006.0972856671044	1008.1834436236142	1007.1403646453593	35	17
